model_parameters,speed
NutriFusionNet_resnet_global_pooling_2lstm_2attn_gat_512_pretrained_da_16_75_25,124.87267136573792
NutriFusionNet_vit_global_pooling_2lstm_2attn_gat_512_pretrained_da_16_75_25,190.36778450012207
NutriFusionNet_resnet_attn_pooling_2lstm_2attn_gat_512_pretrained_da_16_75_25,120.63187050819397
NutriFusionNet_vit_attn_pooling_2lstm_2attn_gat_512_pretrained_da_16_75_25,193.47238874435425
NutriFusionNet_resnet_2lstm_2attn_gat_512_pretrained_da_16_75_25,119.75344109535217
NutriFusionNet_vit_2lstm_2attn_gat_512_pretrained_da_16_75_25,200.1443440914154
